湖北移动,#genre#
CCTV-1HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226691/index.m3u8,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226731/index.m3u8,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226113/index.m3u8
CCTV-2HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226567/index.m3u8
CCTV-3HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226632/index.m3u8
CCTV-4HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226683/index.m3u8
CCTV-5HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226640/index.m3u8
CCTV-6HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226643/index.m3u8
CCTV-7HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226687/index.m3u8
CCTV-8HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226635/index.m3u8
CCTV-9HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226571/index.m3u8
CCTV-10HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226680/index.m3u8
CCTV-11HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226684/index.m3u8
CCTV-12HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226560/index.m3u8
CCTV-13HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226688/index.m3u8
CCTV-14HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226685/index.m3u8
CCTV-15HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226677/index.m3u8
CCTV-17HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226642/index.m3u8
CCTV-5+HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226641/index.m3u8
CCTV-怀旧剧场,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226710/index.m3u8
CCTV-第一剧场,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226736/index.m3u8
CCTV-风云音乐,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226713/index.m3u8
CCTV-风云足球,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226719/index.m3u8
CCTV-兵器科技,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226723/index.m3u8
CCTV-世界地理,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226720/index.m3u8
CCTV-女性时尚,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226730/index.m3u8
CCTV-央视台球,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226716/index.m3u8
CCTV-电视指南,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226717/index.m3u8
CCTV-高尔夫网球,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226742/index.m3u8
CGTN,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226637/index.m3u8
CGTN纪录,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226667/index.m3u8
CGTN法语,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226645/index.m3u8
CGTN西班牙语,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226638/index.m3u8
CGTN阿拉伯语,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226648/index.m3u8
CGTN俄罗斯语,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226658/index.m3u8
中央新影-老故事,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226739/index.m3u8
中国教育1HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226705/index.m3u8
中国教育2,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226601/index.m3u8
中国教育4,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226712/index.m3u8
书画频道,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226665/index.m3u8
环球奇观,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226634/index.m3u8
央广购物,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226660/index.m3u8
CHC动作电影,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226673/index.m3u8
CHC影迷电影,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226681/index.m3u8
CHC家庭影院,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226676/index.m3u8
湖南卫视HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226117/index.m3u8
江苏卫视HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226682/index.m3u8
浙江卫视HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226701/index.m3u8
东方卫视HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226674/index.m3u8
